City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Wind deg,Sunrise,Sunset,Visibility,Temp
provideniya,64.3833,-173.3,-13.23,83.0,99.0,7.67,RU,1612034958.0,58.0,1612124222.0,1612149379.0,10000.0,-13.23
inirida,3.8653,-67.9239,93.69,42.0,100.0,2.8,CO,1612034958.0,24.0,1612003582.0,1612046613.0,10000.0,93.69
gannan,47.9147,123.5031,-12.14,89.0,100.0,3.4,CN,1612034959.0,131.0,1612048508.0,1612082612.0,10000.0,-12.14
yulara,-25.2406,130.9889,84.2,37.0,40.0,12.66,AU,1612034960.0,100.0,1612039887.0,1612087639.0,10000.0,84.2
puerto ayora,-0.7393,-90.3518,86.0,66.0,0.0,16.11,EC,1612034960.0,130.0,1612008616.0,1612052346.0,10000.0,83.52
pisco,-13.7,-76.2167,79.0,65.0,0.0,6.91,PE,1612034960.0,270.0,1612004211.0,1612049965.0,10000.0,77.83
jamestown,42.097,-79.2353,26.01,68.0,90.0,3.44,US,1612034692.0,60.0,1612009902.0,1612045723.0,10000.0,25.3
cherskiy,68.75,161.3,-36.9,83.0,16.0,2.3,RU,1612034962.0,169.0,1612046893.0,1612066082.0,10000.0,-36.9
hermanus,-34.4187,19.2345,66.99,83.0,2.0,1.01,ZA,1612034962.0,292.0,1611979301.0,1612029053.0,10000.0,66.99
kapaa,22.0752,-159.319,71.6,94.0,90.0,17.27,US,1612034962.0,50.0,1612026969.0,1612067101.0,10000.0,70.12
punta arenas,-53.15,-70.9167,59.0,51.0,0.0,25.32,CL,1612034963.0,270.0,1611997840.0,1612053792.0,10000.0,59.0
georgetown,5.4112,100.3354,80.01,83.0,20.0,3.44,MY,1612034915.0,50.0,1612049719.0,1612092522.0,8000.0,77.83
hambantota,6.1241,81.1185,75.2,100.0,40.0,3.44,LK,1612034964.0,70.0,1612054385.0,1612097081.0,10000.0,75.2
santa lucia,27.9117,-15.5407,66.0,72.0,20.0,23.02,ES,1612034965.0,20.0,1611993005.0,1612032044.0,10000.0,65.23
bambous virieux,-20.3428,57.7575,79.0,89.0,20.0,5.75,MU,1612034965.0,90.0,1611971480.0,1612018381.0,10000.0,78.89
tiksi,71.6872,128.8694,-26.88,86.0,100.0,5.46,RU,1612034965.0,86.0,1612058064.0,1612070479.0,3345.0,-26.88
mataura,-46.1927,168.8643,48.0,80.0,60.0,8.01,NZ,1612034966.0,220.0,1612028159.0,1612081185.0,10000.0,48.0
fort nelson,58.8053,-122.7002,-18.4,76.0,40.0,1.12,CA,1612034967.0,329.0,1612023712.0,1612052778.0,10000.0,-18.4
vaini,-21.2,-175.2,75.2,94.0,75.0,6.91,TO,1612034967.0,20.0,1612113777.0,1612160735.0,10000.0,75.2
upernavik,72.7868,-56.1549,-9.81,86.0,0.0,8.39,GL,1612034968.0,9.0,1612018892.0,1612025653.0,10000.0,-9.81
rikitea,-23.1203,-134.9692,78.62,77.0,49.0,14.16,PF,1612034968.0,107.0,1612017504.0,1612064876.0,10000.0,78.62
saint-philippe,-21.3585,55.7679,78.8,65.0,0.0,4.61,RE,1612034969.0,80.0,1611971867.0,1612018949.0,10000.0,73.83
tasiilaq,65.6145,-37.6368,17.6,35.0,75.0,18.41,GL,1612034971.0,70.0,1612006172.0,1612029484.0,10000.0,17.6
dikson,73.5069,80.5464,-35.41,82.0,0.0,9.64,RU,1612034972.0,178.0,0.0,0.0,10000.0,-35.41
port alfred,-33.5906,26.891,64.99,89.0,51.0,2.59,ZA,1612034973.0,354.0,1611977559.0,1612027119.0,10000.0,64.99
makakilo city,21.3469,-158.0858,73.4,73.0,75.0,4.61,US,1612034832.0,0.0,1612026610.0,1612066868.0,10000.0,71.58
le port,-20.9373,55.2919,80.6,69.0,20.0,11.5,RE,1612034974.0,140.0,1611972019.0,1612019025.0,10000.0,73.92
ust-kut,56.7938,105.7672,-39.73,77.0,32.0,3.04,RU,1612034975.0,325.0,1612054654.0,1612084980.0,10000.0,-39.73
ancud,-41.8697,-73.8203,68.0,45.0,0.0,6.91,CL,1612034975.0,0.0,1612000669.0,1612052357.0,10000.0,64.76
dingle,10.9995,122.6711,71.4,89.0,100.0,10.71,PH,1612034976.0,9.0,1612044785.0,1612086733.0,10000.0,71.4
